Title,Id,Category,Reg. Price,Price,Image,Description,Height,Width,Length,Glass,Safety Listing,Weight,Chain,Wire,Number of Bulbs,Max Wattage,Bulb Base,Light Sourse,Dimmable,Bulb Voltage,Manufacturers_warranty,Finish,UPC,Instructions,Parts Diagram,Extension,Shipped Via,Bulbs Included,Bulb Type,Color Temp,CRI,Light Output,Rated Avg Life,Canopy
One Light Landscape Accent,852865,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/852865.jpg,12V PAR 36 Brass Well Rockguard in Centennial Brass,"6.75""","5.5""","5.5""",Clear Tempered Soda Lime,Wet,,,,1,,SCTM,Incandescent,,,,Centennial Brass,,,,,UPS,,PAR36,,,,,
One Light Landscape Accent,852864,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/852864.jpg,12V PAR 36 Brass Well Trim in Centennial Brass,"6.75""","5.5""","5.5""",Clear Tempered Soda Lime,Wet,,,,1,,SCTM,Incandescent,,,,Centennial Brass,,,,,UPS,,PAR36,,,,,
One Light In-Ground,852856,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/852856.jpg,12V Brass Side Throw In Ground in Centennial Brass,"5""","5""","4.25""",Clear Tempered Soda Lime,Wet,1.79lb,,,1,,BIPI,Incandescent,,,,Centennial Brass,,,,,UPS,,MR16,,,,,
One Light In-Ground,852855,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/852855.jpg,12V Brass Beacon In Ground in Centennial Brass,"5""","5""","4.25""",Clear Tempered Soda Lime,Wet,,,,1,,BIPI,Incandescent,,,,Centennial Brass,,,,,UPS,,MR16,,,,,
One Light In-Ground,852854,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/852854.jpg,12V Brass Rock Guard In Ground with Lens in Centennial Brass,"5""","5""","4.25""",Clear Tempered Soda Lime,Wet,,,,1,,BIPI,Incandescent,,,,Centennial Brass,,,,,UPS,,MR16,,,,,
One Light Landscape Accent,852853,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/852853.jpg,12V Brass Cowl In Ground in Centennial Brass,"5""","5""","4.25""",Clear Tempered Soda Lime,Wet,,,,1,,BIPI,Incandescent,,,,Centennial Brass,,,,,UPS,,MR16,,,,,
One Light In-Ground,852852,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/852852.jpg,12V Brass Trim In Ground with Bulb in Centennial Brass,"5""","5""","4.25""",Clear Tempered Soda Lime,Wet,,,,1,,BIPI,Incandescent,,,,Centennial Brass,,,,,UPS,,MR16,,,,,
One Light Recessed Louvered,852850,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/852850.jpg,12V MR-8 Brass Recessed Louvered in Centennial Brass,"2""","2""","3""",Clear Tempered Soda Lime,Wet,,,,1,,BIPI,Incandescent,,,,Centennial Brass,,,,,UPS,,MR8,,,,,
One Light Recessed with Cowl,852849,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/852849.jpg,12V MR-8 Brass Recessed Basic Trim with Cowl in Centennial Brass,"3.5""","1.25""","1.25""",Clear Tempered Soda Lime,Wet,0.2lb,,,1,,BIPI,Incandescent,,,,Centennial Brass,,,,,UPS,,MR8,,,,,
One Light Recessed Basic Trim,852848,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/852848.jpg,12V MR-8 Brass Recessed Basic Trim in Centennial Brass,"2""","2""","3""",Clear Tempered Soda Lime,Wet,,,,1,,BIPI,Incandescent,,,,Centennial Brass,,,,,UPS,,MR8,,,,,
