Title,Id,Category,Reg. Price,Price,Image,Description,Height,Width,Length,Glass,Safety Listing,Weight,Chain,Wire,Number of Bulbs,Max Wattage,Bulb Base,Light Sourse,Dimmable,Bulb Voltage,Manufacturers_warranty,Finish,UPC,Instructions,Parts Diagram,Extension,Shipped Via,Bulbs Included,Bulb Type,Color Temp,CRI,Light Output,Rated Avg Life,Canopy
One Light Wall Sconce,418985,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/418985.jpg,The Holita sconce has seductive curves that add a touch of sophisticated sexiness to a room. The imperial silver base and light beige fabric shade complete with diffuser finishes the look.,"47.5""","12""",,Light Beige Fabric Shade,,5lb,,"6""",1,60W,Medium,,,120V,Product Warranty: Limited Warranty,Imperial Silver,,,,"6""",UPS,,A19,,,,,"8.000""x5.000'`"
One Light Wall Sconce,248453,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/248453.jpg,,"30""","8.25""",,Pearl Mist,,4.41lb,,,1,100W,Medium,,,,,Black,,,,"5""",UPS,,,,,,,"7.63""x8'`"
One Light Wall Torchiere,145244,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/145244.jpg,,"78.25""","10""",,White,,11.99lb,,,1,100W,Medium,CFL,,,,Blackened Steel,,,,"8.75""",UPS,,SPIRAL,,,,,"5.5""x7.25'`"
One Light Wall Sconce,751441,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/751441.jpg,21W CFL T5 WALL LAMP,"38""","4""","4""",White,,12.1lb,,,1,21W,,CFL,,,1 year,Brushed Steel,,,,,Small Parcel,,T5,,,,,
Six Light Wall Sconce,746884,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/746884.jpg,"A bouquet of hand-formed flowers and buds of glass artfully light the room in the Mimi LED collection. Each glass sculpture is available in four color options of Cognac, Fume, Sunrise, and Root Beer. Polished Chrome hardware is used to reflect the beauty of this colorful lighting. Light is created by means of a long-life and energy-efficient LED light source.","41""","26""",,Root Beer,Dry,,,"10""",6,1W,,LED,,,10,Polished Chrome,,,,,UPS,Yes,,3500K,80,,40000,
Two Light Wall Sconce,725320,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/725320.jpg,"Constructed of heavy cast iron pipe, this collection has an industrial look that is further enhnaced with a two-tone Weathered Zinc finish accented with Zinc plated elbows and connectors. There are also 3 optional shades to choose from: cone, perforated m","40""","11""",,,,7lb,,,2,60W,Medium,Incandescent,,,,"Weathered Zinc,Zinc Plating",,,,"7""",,,Vintage Carbon Filament,,,,,"5""Dia"
Wall Sconce,647350,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/647350.jpg,,"34""","14""",,Black Microfiber Shade,,,,,1,60W,E26,,,,,Black Resin/Vintage Silver,,,,"7.5""",,,A,,,,,
Wall Sconce,647349,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/647349.jpg,,"34""","14""",,Light Gray Microfiber Shade,,,,,1,60W,E26,,,,,White Resin/Vintage Silver,,,,"7.5""",,,A,,,,,
Two Light Wall Torchiere,644636,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/644636.jpg,,"39.25""","10.75""",,French Bronze w/ Gold Highligh,,5.14lb,,,2,60W,Candelabra,,,,,French Bronze w/ Gold Highlights,,,,"6.75""",UPS,,,,,,,"5.5""x0.75'`"
One Light Wall Sconce,619655,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/619655.jpg,A design derivative based on our popular Yale chandelier (86762). This dramatic one-light sconce has hundreds of rows of delicate antique nickel chains artistically draped and looped over the frame leaving extra-long,"45""","9.5""",,,,7.9lb,,10',,40W,Candelabra,,,,,Antique Nickel,,,,"6""",,,B10,,,,,
